Kernel,Metric,Configuration,Value
_Z14float_to_colorPhPKf,shared_efficiency,./heat_globalmem.out_shared_efficiency_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,shared_efficiency,./heat_globalmem.out_shared_efficiency_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,l2_utilization,./heat_globalmem.out_l2_utilization_heat_globalmem.out,1
_Z14float_to_colorPhPKf,l2_utilization,./heat_globalmem.out_l2_utilization_heat_globalmem.out,1
_Z17copy_const_kernelPfS_,l2_utilization,./heat_globalmem.out_l2_utilization_heat_globalmem.out,1
_Z12blend_kernelPfbS_S_,shared_store_transactions,./heat_globalmem.out_shared_store_transactions_heat_globalmem.out,0
_Z14float_to_colorPhPKf,shared_store_transactions,./heat_globalmem.out_shared_store_transactions_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,shared_store_transactions,./heat_globalmem.out_shared_store_transactions_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,tex_cache_throughput,./heat_globalmem.out_tex_cache_throughput_heat_globalmem.out,944103330625
_Z14float_to_colorPhPKf,tex_cache_throughput,./heat_globalmem.out_tex_cache_throughput_heat_globalmem.out,8859982152616
_Z17copy_const_kernelPfS_,tex_cache_throughput,./heat_globalmem.out_tex_cache_throughput_heat_globalmem.out,269279917822
_Z12blend_kernelPfbS_S_,tex_fu_utilization,./heat_globalmem.out_tex_fu_utilization_heat_globalmem.out,0
_Z14float_to_colorPhPKf,tex_fu_utilization,./heat_globalmem.out_tex_fu_utilization_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,tex_fu_utilization,./heat_globalmem.out_tex_fu_utilization_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,local_store_throughput,./heat_globalmem.out_local_store_throughput_heat_globalmem.out,0
_Z14float_to_colorPhPKf,local_store_throughput,./heat_globalmem.out_local_store_throughput_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,local_store_throughput,./heat_globalmem.out_local_store_throughput_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,inst_replay_overhead,./heat_globalmem.out_inst_replay_overhead_heat_globalmem.out,9.55759e-06
_Z14float_to_colorPhPKf,inst_replay_overhead,./heat_globalmem.out_inst_replay_overhead_heat_globalmem.out,8.40704e-06
_Z17copy_const_kernelPfS_,inst_replay_overhead,./heat_globalmem.out_inst_replay_overhead_heat_globalmem.out,4.44671e-05
_Z12blend_kernelPfbS_S_,inst_bit_convert,./heat_globalmem.out_inst_bit_convert_heat_globalmem.out,0
_Z14float_to_colorPhPKf,inst_bit_convert,./heat_globalmem.out_inst_bit_convert_heat_globalmem.out,29360117
_Z17copy_const_kernelPfS_,inst_bit_convert,./heat_globalmem.out_inst_bit_convert_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,shared_load_transactions,./heat_globalmem.out_shared_load_transactions_heat_globalmem.out,0
