,Executable,Memtype,GPUBlockSize,NumSpheres,Dim,ExecTime
94,./const_global_mem.out,3,4,1000,10240,300.17900000000003
95,./const_global_mem.out,3,4,1000,20480,1178.2407142857144
96,./const_global_mem.out,3,4,2340,1024,16.30062142857143
97,./const_global_mem.out,3,4,2340,4096,117.27428571428572
98,./const_global_mem.out,3,4,2340,10240,691.8059285714287
99,./const_global_mem.out,3,4,2340,20480,2741.477857142857
100,./const_global_mem.out,3,8,20,1024,7.863535882352941
101,./const_global_mem.out,3,8,20,4096,8.561182352941174
102,./const_global_mem.out,3,8,20,10240,12.06585882352941
103,./const_global_mem.out,3,8,20,20480,23.727817647058824
104,./const_global_mem.out,3,8,200,1024,8.215678219178077
105,./const_global_mem.out,3,8,200,4096,14.052182352941175
106,./const_global_mem.out,3,8,200,10240,42.23506571428571
107,./const_global_mem.out,3,8,200,20480,142.65470588235294
108,./const_global_mem.out,3,8,500,1024,8.970421764705883
109,./const_global_mem.out,3,8,500,4096,23.047558904109586
110,./const_global_mem.out,3,8,500,10240,91.77112352941175
111,./const_global_mem.out,3,8,500,20480,343.90435294117657
112,./const_global_mem.out,3,8,1000,1024,10.046826470588234
113,./const_global_mem.out,3,8,1000,4096,35.330111764705876
114,./const_global_mem.out,3,8,1000,10240,175.71152941176467
115,./const_global_mem.out,3,8,1000,20480,679.7915882352941
116,./const_global_mem.out,3,8,2340,1024,12.749098305084747
117,./const_global_mem.out,3,8,2340,4096,70.76153529411764
118,./const_global_mem.out,3,8,2340,10240,400.9667647058824
119,./const_global_mem.out,3,8,2340,20480,1579.1470588235297
120,./const_global_mem.out,3,16,20,1024,7.879932898550726
121,./const_global_mem.out,3,16,20,4096,8.410052463768114
122,./const_global_mem.out,3,16,20,10240,11.81556231884058
123,./const_global_mem.out,3,16,20,20480,23.135872463768106
124,./const_global_mem.out,3,16,200,1024,8.278016153846153
125,./const_global_mem.out,3,16,200,4096,14.040315384615383
126,./const_global_mem.out,3,16,200,10240,44.49207843137255
127,./const_global_mem.out,3,16,200,20480,142.33253846153843
128,./const_global_mem.out,3,16,500,1024,8.90422923076923
129,./const_global_mem.out,3,16,500,4096,22.185907692307694
130,./const_global_mem.out,3,16,500,10240,91.60161538461537
131,./const_global_mem.out,3,16,500,20480,342.9443076923077
132,./const_global_mem.out,3,16,1000,1024,9.952820588235294
133,./const_global_mem.out,3,16,1000,4096,35.81486923076923
134,./const_global_mem.out,3,16,1000,10240,175.26807692307693
135,./const_global_mem.out,3,16,1000,20480,677.8892307692307
136,./const_global_mem.out,3,16,2340,1024,12.810553846153844
137,./const_global_mem.out,3,16,2340,4096,70.6675076923077
138,./const_global_mem.out,3,16,2340,10240,399.9064615384616
139,./const_global_mem.out,3,16,2340,20480,1574.8592307692306
140,./const_global_mem.out,3,32,20,1024,7.893837391304348
141,./const_global_mem.out,3,32,20,4096,8.517186521739129
142,./const_global_mem.out,3,32,20,10240,11.987878260869563
143,./const_global_mem.out,3,32,20,20480,23.446256521739134
144,./const_global_mem.out,3,32,200,1024,8.27975304347826
145,./const_global_mem.out,3,32,200,4096,13.881035443037971
146,./const_global_mem.out,3,32,200,10240,42.505930434782606
147,./const_global_mem.out,3,32,200,20480,139.62408860759487
