Kernel,Metric,Configuration,Value
_Z6kernelPh,gld_requested_throughput,./const_global_mem.out_gld_requested_throughput_const_global_mem.out,4848007832
_Z6kernelPh,ldst_issued,./const_global_mem.out_ldst_issued_const_global_mem.out,2799597218
_Z6kernelPh,flop_count_sp_add,./const_global_mem.out_flop_count_sp_add_const_global_mem.out,1258403662536
_Z6kernelPh,flop_count_dp_mul,./const_global_mem.out_flop_count_dp_mul_const_global_mem.out,0
_Z6kernelPh,inst_inter_thread_communication,./const_global_mem.out_inst_inter_thread_communication_const_global_mem.out,0
_Z6kernelPh,ldst_fu_utilization,./const_global_mem.out_ldst_fu_utilization_const_global_mem.out,3
_Z6kernelPh,flop_count_sp_special,./const_global_mem.out_flop_count_sp_special_const_global_mem.out,56231268
_Z6kernelPh,atomic_transactions_per_request,./const_global_mem.out_atomic_transactions_per_request_const_global_mem.out,0
_Z6kernelPh,flop_dp_efficiency,./const_global_mem.out_flop_dp_efficiency_const_global_mem.out,0
_Z6kernelPh,issue_slots,./const_global_mem.out_issue_slots_const_global_mem.out,17881365429
_Z6kernelPh,stall_sync,./const_global_mem.out_stall_sync_const_global_mem.out,0
_Z6kernelPh,l2_read_throughput,./const_global_mem.out_l2_read_throughput_const_global_mem.out,1726227
_Z6kernelPh,stall_other,./const_global_mem.out_stall_other_const_global_mem.out,0.449184
_Z6kernelPh,stall_texture,./const_global_mem.out_stall_texture_const_global_mem.out,0
_Z6kernelPh,flop_count_dp_fma,./const_global_mem.out_flop_count_dp_fma_const_global_mem.out,0
_Z6kernelPh,cf_issued,./const_global_mem.out_cf_issued_const_global_mem.out,2725452538
_Z6kernelPh,gld_transactions_per_request,./const_global_mem.out_gld_transactions_per_request_const_global_mem.out,0
_Z6kernelPh,eligible_warps_per_cycle,./const_global_mem.out_eligible_warps_per_cycle_const_global_mem.out,18.6707
_Z6kernelPh,shared_store_transactions_per_request,./const_global_mem.out_shared_store_transactions_per_request_const_global_mem.out,0
_Z6kernelPh,dram_write_throughput,./const_global_mem.out_dram_write_throughput_const_global_mem.out,6601449
