Kernel,Metric,Configuration,Value
_Z6kernelPh,inst_executed,./const_global_mem.out_inst_executed_const_global_mem.out,13760712192
_Z6kernelPh,flop_count_sp_fma,./const_global_mem.out_flop_count_sp_fma_const_global_mem.out,206181316
_Z6kernelPh,local_load_transactions_per_request,./const_global_mem.out_local_load_transactions_per_request_const_global_mem.out,0
_Z6kernelPh,dram_write_transactions,./const_global_mem.out_dram_write_transactions_const_global_mem.out,116582
_Z6kernelPh,local_load_transactions,./const_global_mem.out_local_load_transactions_const_global_mem.out,0
_Z6kernelPh,sysmem_read_utilization,./const_global_mem.out_sysmem_read_utilization_const_global_mem.out,0
_Z6kernelPh,dram_utilization,./const_global_mem.out_dram_utilization_const_global_mem.out,1
_Z6kernelPh,tex_utilization,./const_global_mem.out_tex_utilization_const_global_mem.out,10
_Z6kernelPh,inst_fp_32,./const_global_mem.out_inst_fp_32_const_global_mem.out,3357182962180
_Z6kernelPh,gst_transactions,./const_global_mem.out_gst_transactions_const_global_mem.out,190188
_Z6kernelPh,inst_misc,./const_global_mem.out_inst_misc_const_global_mem.out,319241012409
_Z6kernelPh,cf_fu_utilization,./const_global_mem.out_cf_fu_utilization_const_global_mem.out,2
_Z6kernelPh,warp_execution_efficiency,./const_global_mem.out_warp_execution_efficiency_const_global_mem.out,193.633
_Z6kernelPh,tex_cache_transactions,./const_global_mem.out_tex_cache_transactions_const_global_mem.out,133120
_Z6kernelPh,local_load_throughput,./const_global_mem.out_local_load_throughput_const_global_mem.out,0
_Z6kernelPh,inst_issued,./const_global_mem.out_inst_issued_const_global_mem.out,14247011821
_Z6kernelPh,gld_requested_throughput,./const_global_mem.out_gld_requested_throughput_const_global_mem.out,0
_Z6kernelPh,ldst_issued,./const_global_mem.out_ldst_issued_const_global_mem.out,160556731
_Z6kernelPh,flop_count_sp_add,./const_global_mem.out_flop_count_sp_add_const_global_mem.out,1258403662536
_Z6kernelPh,flop_count_dp_mul,./const_global_mem.out_flop_count_dp_mul_const_global_mem.out,0
_Z6kernelPh,inst_inter_thread_communication,./const_global_mem.out_inst_inter_thread_communication_const_global_mem.out,0
_Z6kernelPh,ldst_fu_utilization,./const_global_mem.out_ldst_fu_utilization_const_global_mem.out,1
_Z6kernelPh,flop_count_sp_special,./const_global_mem.out_flop_count_sp_special_const_global_mem.out,56231268
_Z6kernelPh,atomic_transactions_per_request,./const_global_mem.out_atomic_transactions_per_request_const_global_mem.out,0
